InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category
INV101164,CLO2394,T-Shirt,1,2023-01-01,51.13,10174.0,United Kingdom,Clothing
INV100991,CLO2416,Hat,1,2023-01-01,111.51,10466.0,United Kingdom,Clothing
INV103580,HOM8409,Vase,2,2023-01-01,123.02,10201.0,United Kingdom,Home & Garden
INV103071,TOY7320,Doll,4,2023-01-01,50.09,10208.0,United Kingdom,Toys
INV102010,BOO5829,Fiction Book,3,2023-01-01,34.43,10400.0,United Kingdom,Books
INV101987,ELE2515,Keyboard,1,2023-01-01,553.3,10166.0,United Kingdom,Electronics
INV104191,HOM9791,Vase,1,2023-01-01,128.27,10422.0,Germany,Home & Garden
INV100446,BOO5938,Fiction Book,4,2023-01-01,44.53,10421.0,United Kingdom,Books
INV100648,TOY6636,Building Blocks,2,2023-01-01,22.08,10402.0,Netherlands,Toys
INV103275,ELE1400,Laptop,1,2023-01-01,296.14,10379.0,United Kingdom,Electronics
INV100755,BOO7654,Magazine,4,2023-01-01,21.58,10479.0,France,Books
INV102070,HOM7127,Garden Tools,2,2023-01-01,56.32,10095.0,United Kingdom,Home & Garden
INV100848,ELE5551,Keyboard,3,2023-01-01,187.91,10413.0,France,Electronics
INV101028,CLO6660,Jeans,1,2023-01-01,43.94,10451.0,United Kingdom,Clothing
INV100677,ELE9963,USB Cable,5,2023-01-01,626.97,10332.0,Germany,Electronics
INV104323,TOY1637,Board Game,6,2023-01-02,57.78,10480.0,Spain,Toys
INV101823,CLO2793,Sneakers,1,2023-01-02,78.45,10273.0,France,Clothing
INV104758,BOO7382,Fiction Book,1,2023-01-02,41.5,10137.0,United Kingdom,Books
INV102910,BOO7611,Fiction Book,2,2023-01-02,37.93,10422.0,United Kingdom,Books
INV100263,TOY4512,Doll,2,2023-01-02,29.8,10320.0,United Kingdom,Toys
INV103152,BOO2887,Fiction Book,4,2023-01-02,46.4,10465.0,United Kingdom,Books
INV100206,BOO9497,Non-Fiction Book,4,2023-01-02,44.41,10386.0,United Kingdom,Books
INV104249,CLO4271,Jeans,3,2023-01-02,138.12,10034.0,United Kingdom,Clothing
INV102173,CLO2415,Scarf,2,2023-01-02,99.73,10402.0,France,Clothing
INV101948,CLO5858,Scarf,1,2023-01-02,109.76,10063.0,United Kingdom,Clothing
INV100063,HOM5763,Cushion,2,2023-01-02,98.8,10359.0,Germany,Home & Garden
INV103330,HOM8179,Garden Tools,10,2023-01-02,52.31,10321.0,United Kingdom,Home & Garden
INV101289,ELE1946,Laptop,3,2023-01-02,765.02,10199.0,United Kingdom,Electronics
INV101864,HOM2806,Garden Tools,6,2023-01-03,104.61,10320.0,United Kingdom,Home & Garden
INV103930,BOO7732,Comic Book,2,2023-01-03,14.9,10318.0,France,Books
INV104489,ELE2348,Keyboard,10,2023-01-03,117.53,10043.0,Netherlands,Electronics
INV102124,HOM7849,Picture Frame,5,2023-01-03,119.49,10283.0,United Kingdom,Home & Garden
